text,label
Five Stars  Helps keep my desk neat.    ,1
Bad bad idea  Too late to return. It glitches and shuts down out of nowhere all the time. Horrible purchase. I was duped.    ,0
This is amazing to have in my car  I use this in my 02 Civic and it works perfectly. Looks great and is much cleaner looking than a traditional mount..im actually about to buy a second one for my wife    ,1
"Zero compression  This is about as stretchy as an underarmor shirt. Next to zero compression, absolutely useless.    ",0
kulang kulang ung items tpus ung minimessage ko ayaw magreply! mababalik pba ung inorder ko? wlang kwenta,0
"Very practical shower head  I love this high pressure shower head,it's got a moderate rate of water coming out,it has six modes that can be converted,I love four of them,they're comfortable to tap on.The design is also very new and there are many different shapes of small holes gushing water,and one very good thing is that its stainless steel hose has a special extension to make it easier for adults and children to use it.it is really amazing compared to other product I have uesd and I love it.    ",1
Thanks seller. Swak na swak para sa baby pagbrown out. Sakto lang ung hangin.,1
"Nakakatuwa lang, super smooth ng transaction within 4 days nadeliver na agad. Nakuha ko lang ng 7300 kaya napaka sulit, ang bilis mag yelo malaki ang space, will check sa next meralco bill kung magkano inabot all in all worth sa price.",1
how it sprays  cant get the sprayer to work    ,0
"Yes!  I bought these to throw on for running around in summer. They are still super comfy. These shoes had more ""give"" than I thought they would. I get lots of compliments about them.    ",1
Excited pa man din ako kasi dumating na tong order ko hmpk hindi din pala maayos yung size. Large inorder ko pero parang pang small size lang tong product nakakatrauma tuloy umorder ng bago. Hindi ko alam kung paano ko na mabebenta to or maibabalik man lang pera ko.,0
These do not last  Less than a year later - both batteries stopped working    ,0
"Napakacute hahaha nakakainlove, meron na akong gagamitin pag naglelecture ako sa kwarto kong madilim ang ilaw natawa lang ako sa j&t kasi kung hindi to naligaw sa gapan edi sana kahapon ko pa to nareceive ngayon lang naexperience yon pero oks lang naman ang mahalaga nakarating",1
"Nung una akala ko d sya nagana kasi ayaw umilaw nung sensor, un pala mahina lang ang nagamit kong battery hahaa. Thank you seller saka kay kuya na nag deliver. God Bless and keep safe",1
How to potty train a chihuahua  I bought these diapers in size small for my chihuahuas since they were peeing on everything and pooping all over. These diapers were these dogs savor. Now I use the diaper along with the male wrap and my little guys hold their bowls until they can be taken outside. In case they do pee or poop these diapers catch everything and can be machine washed easily. Now my husband is happy and my puppies are apart of the house again. It's a lot cheaper to buy these diapers than replace the carpet in my house. Yay    ,1
Ok naman ang quality for the price pero sobrang liit lang pero stretchable naman siya kaya nga lang yung tahi js mabubungkas pero ok lang talaga base sa price,1
Hindi po mganda ang product pg nilagyan mo ng mainit tapos iinom ka nakakapaso akala pwede pwede ng mainit hindi pala.,0
Not what expected  The color was not at all what was advertised. The blue was royal and not navy. The flowers were pink and not burgundy. The fabric was worn around the seems.    ,0
Great Buy  Very happy with this purchase. Sturdy frames and clear lenses!!    ,1
"Great bag!  This bag fits so much, I have used it for a weekend bag and took on the airplane this summer. Has so many storage compartments and just when I thought I found them all more showed up. Love the color. Only thing that would make it even better would be 360 wheels but didn't have any problems maneuvering it around.    ",1
Five Stars  Does everything I needed it to    ,1
ayaw po gumana may sira din sya waste,0
"Sobrang poor performance nito. Kaya pala ang mura ng powerbank na ito kasi mapapamura ka talaga. Hindi man lang maka full charge ng phone kahit hindi ginagamit yun phone. Ang bilis mag drain ng power bank. Nato. May naka lagay pa na 20k mah, wtf. This is my 1st and last order sa item na ito at hindi na ako uulit kasi sa sobrang Walang kwenta item na to. Sayang lang pera nyo dito. Kung pwde wag na kayo mag benta nito ang Daming masasayang na pera. Not recommended this item. 20k mah? Wtf? Baka 2k mah lang.",0
"Fun way to check your temp  I have several products from iProven and they are definitely reliable and worth it. I was sceptical about this product when I first saw it but it's easy to use, instructions were useful and when compared to where the digital thermometer, it's pretty accurate. It's easy to use that my toddler started to use it with us, his baby brother and our cat. It's definitely a fun way to check one's temperature. Although it won't be 100% accurate, it would be a pretty close temperature. I definitely recommend.    ",1
Nagustuhan ng mama at papa ko. Thank you seller. Sana tumagal.,1
"The taste screams ""I'm on a diet."" Horrid.  This tastes like liquid splenda. The aftertaste is horrible. Now I'm stuck with two bottles of syrup that I don't want to throw away because they cost money and I know will stay in the shelve until I give up. Bought it after a FB page continued to rave about it but obviously she's getting paid because I don't know how else you can recommend this product. Monk fruit is not a tasty sugar substitute.    ",0
Defective. Yung black talagang di nagana. Yung white naman kabila lang,0
Arrived leaking everywhere  I cannot believe someone mailed a glass bottle like this. I'm surprised it halfway made it. Leaking contents everywhere the entire outside is soaked and sticky. This item is in eligible for return or exchange how my supposed to get a good bottle? This is what I get for buying something to dollars cheaper on Amazon instead of buying it at my natural food store    ,0
Sorry I'm so disappointed 7% palang nadadagdag sa sa battery Ng phone ko lowbat agad Yung powerbank,0
Thankyouuu. Sobrang ganda ng packaging may freebie pa,1
Subrang taga ng deliver muntik ko ng i cancel.,0
Not hot and cold madaling mabasag garapon lang ang ginamit,0
"Love it!  This vacuum is perfect for my daily house cleaning and its very strong ,really a surprisingly powerful small hand vac. The size was great and the attachments were awesome.It is perfect for the car and i also used it in my house like inside the couches and areas were bigger vacuums cant get into as easily. Good value and good design.    ",1
"I didn't expect this as a result...READ  Very disappointed with this purchase, not by the isolated shield itself, but by the tools, they don't mesh strongly as they should, I also used Blade Oil and it didn't work neither. When I finally find a way to put it in the microphone holder, the result is too unbalanced and floppy. These types of musical utensils must be very precise and perfect.    ",0
Dalawa po yung dumating na product nagkadoble binayaran ko hindi ko pa din natatry kung matibay ba yung bag,0
black ung order ko pero red binigay naka chat kopa si seller nag confirm sya na same black order ko pero eto red binigay,0
"Never buy in this seller super disappointed really! Hnd kumpleto order ko, yung rain coat na importante hnd sinama, yung ear pods pink order ko but yellow ang binigay, hnd pa pareho ang quality ng both pods, yung isa supar lakas yung isa mahina kaya masakit sa tenga Nagmessage ako pero no response",0
ON the Road Again  I replaced the starter on a 2004 ford focus and it functions perfectly. The price point was fair and the product is well made and works as it should.    ,1
"It turns up to 11.  Wow, beyond impressed with this speaker; being a bit of a music and tech nerd I wasn't expecting much from a $10 speaker. I was just looking for something that would make my Alexa morning routine sound a bit better in my bedroom. I have my whole home set up to play music and the dot 2nd gen just sounded terrible compared to the Input I have connected to my very nice, high end stereo system and another room connected to a $600 pair of bookshelf speakers. I feel it packs a powerful punch for such a small speaker and price. To the reviews I read that said it doesn't get loud enough- I can only assume they hate their neighbors and having ear drums because this thing can get way louder than I will ever need or want it to be. At an appropriate listening volume and proper placement in a room the sound is very impressive for the price point. The fact that it is portable is an added bonus.    ",1
Five Stars  Have lasted since last year. Use them and wash them without loss of efficiency    ,1
"bad feedback,kxe lhat ng items na dumating sken may depekto,ung led lamp sira ung power ndi nagana ung on off,ung cp stand basag ung pinaka stand nya kaya pag nilalagay ung cp ndi kinakaya bumabagsak,nagbayad ako ng maayos pero ganyan lng pla nagyare,sayang lng pera ko 250 pa nman yan",0
"... excited I started to use it rt away worked great on the first ball after that not so good  I got this for Christmas I was soo excited I started to use it rt away worked great on the first ball after that not so good, the yarn started to slip on every turn, it did nit matter how tight or loose my tension was, the yarn even got tangled up and it took me awhile to un tangle it.im so disappointed    ",0
Hindi gumagana yung isa kahit anong gawin di siya gumagana isa lang gumana pero ok nmn ksi malakas nmn kahit isa lng pero ampanget di tlaga gana hayst,0
It doesn't work!  This is supposed to keep minerals from settling on the bottom of your electric tea kettle and the minerals are supposed to collect on this little wire ball. I really wanted it to work because I can't stand seeing minerals collecting. It just seems nasty. Guess I'll keep cleaning with vinegar because this doesn't work.    ,0
Maganda sya Tama Ang size na dumating thanks you,1
Highly Recommend GOODS LAHAT NO DAMAGE SALAMAT SA VERY MABAIT NA SELLER AT CHAKA KY KUYA RIDER,1
One Star  I ordered my Large pants and they sent me a 2X pants    ,0
Works well for rough baby skin  Good for my babygirl    ,1
"AYAW REFUND YUNG KULANG NA ITEM! 500+ binayaran ko di naman pinupulot yung 199 item na ayaw irefund, di pa nagrereply godbless nalang sa business niyoo",0
Mabilis po yung pag deliver ng item kaso nga lang may damage sya. And tinipid po yung bubble wrap. Kung maayos po sana yung pag lagay ng bubble wrap hindi sana magkakadamage yung bulb. Pero maganda naman.,0
"Awesome mirror!  Great mirror! Does exactly what I need it to. I kept the box so that I can take travel with it. It's great for everyday use, and awesome for my daughter that does competitive cheer!    ",1
THIS IS A PIECE OF JUNK. FAULTY AND AMAZON WILL NOT DO ANYTHING ABOUT IT.  This worked perfectly in my tank for about six months. After six months it immediately stopped working. I was left with my fish swimming in about 01 degree lower water than it should be. This put my fish in danger. I will be contacting Amazon on money for my money back. Very disappointed. Amazon refuses to issue a refund for this fault item. It died after 6 months. Their return policy is to only refund after one month. I am extremely disappointed with Amazon's handling of this issue. BUYER BEWARE. AMAZON WILL ALSO SCREW YOU!!!!!!!!!!!!    ,0
"Highly recommend  We are eating lots more veggies now, no oil needed and they are so flavorful. Great for toast as well    ",1
"Broke after 00 pulls  I never leave reviews, but I was so disappointed with the product and support I had to make others aware. The threads from the aluminum handle stripped out making the tool useless. Very light weight. Waited over 1 days to hear back from the seller and nothing. Look elsewhere if your looking for something that will last.    ",0
"colorful  Nice, bright colors, and very light construction    ",1
Looking for summer dresses  The dress is beautiful but would like a darker purple.    ,1
Five Stars  Works great! Doubles as a night light/ UV lamp!    ,1
"What u see is what u get! Satisfied buyer, sobrang bilis din dumating 2days lang ako naghintay. Worth it na sa price maganda yung tela and walang sira. Tama rin yung dumating na kulay. Thankyouuu po",1
Five Stars  For me it works better than the name brand. I can see it in sunlight yet privacy still works.    ,1
okay na rin sya for its price but my only concern is marami na syang dents as if nagamit na sya before and maalikabok although nakabox naman sya. magaan lang din unlike sa nabili ko sa ibang shop before. thank u seller,1
Fave namin to kaya umorder kami. Di siya avail sa ibang stores e. Will buy again.,1
Cool  These coasters are cool and work great    ,1
"Wonderful!  Great product, wish it was a bit larger, but great for the price!    ",1
Ang bango neto promise! Eto kasi gamit ng bf ko umaabot ng gabi yung amoy niya. Medyo naglighten yung underarm niya simula ng ginamit niya to,1
"She added: ""Very convenient and works well"".  I bought this for my wife. Her comments: ""It does seem to make a better job of ironing. Light weight. Convenient to move around to different locations. Good size and does not wobble like an ironing board can"".    ",1
Bilis dumating and sobrang ganda ng packaging. Thanks,1
... received 0 in the package and it is nothing like I pictured  Only received 0 in the package and it is nothing like I pictured them    ,0
Ordered for s00e  This is for an s00 not s00e    ,0
Nice item nagustuhan Ng anak ko. Tenk u,1
"Worked great for a month  Worked great for a little over a month. Now, the end of the arm near where the tablet is held is severely damaged. It will technically still support the tablet since the black portion of the ""arm"" is very rigid. It's near the end where it is wrapped in white rubber that uses a smaller type of bendable metal that has broken down. The tablet just kind of dangles now and can't really be set to view from almost angles. Bummer.    ",0
Its so cute at kasyang kasya sa chest bag ko super like ko yung color nya and naka well pack din at laging nice yung guy a nag dedeliver sakin thanks seller sa magandang service,1
"One Star  It arrived broken, I couldn't send it back because return window was closed.    ",0
"I ordered these last October 15, kahapon ko pa lang na receive. Actually, it was shipped immediately naman kaso nga lang nagtagal sa courier. Nakakainip talaga mag antay. Akala ko hindi na darating. Pero okay lang naman, I understand. Buti nalang umorder ako kahit may sabon pa ako.",1
"Yes  Use these everywhere. Actually gotta get another, someone smashed mine thinking it was real    ",1
Legit na oppo. Super safe ng packaging kaya safe dumating will order again para naman kay mama. Thank you seller.,1
"okie namn ung product, kso ndi sya sumunod sa instruction ang linawlinaw naman ng req. Q, ndi rin sya ngrereply, sana next time ung taga balot nyo ng parcel tumingin sa tamang kulay at instruction ng customer, para ndi naman sumama ung loob ng customer nyo.un lng",0
Goods sana yung balot eh Kaso lang same color yung dumating,0
"Maganda ang quality ng belt, pati packaging nagustuhan ko. Mejo matagal lang na ship out buti na lang mabilis yung courier. Recommend product.",1
Sira ung blender. Hindi magagamit kasi walang takip ung sa ilalim di man lang chineck bago nagship. Sayang lang,0
ganda ng quality! di q lang inexpect na super haba niya pero okay naman. mabilis din siya naship nadeliver. ganda ganda ganda,1
One Star  Didn't come on time as all my Amazon Prime orders do when they say they will.    ,0
Super happy po ang aking mga kids sa aming new tV. At malinaw din ang picture nya. Safe na safe nung dumating ang aming new TV. Thank you seller at thank you din po sa mahusay at maingat na rider na si sir Emerson motas.Godbless us all.,1
Ibang iba yung kulay nung nasa picture sa nareceived ko. medyo disappointed,0
"Please send again  Received an empty envelope, nothing inside, therefore I cannot return the item for a refund or exchange, can you please help.    ",0
"Malfunctioning 3 beep increments  Purchased in January, now 2 months later it is beeping in increments of 3 which is a malfunction error. Tried turning it off to see if it resets (several times) but it ultimately reverts to 3 beep malfunction error. Returning for replacement. Din't Know how many stars it deserves but for now 0 star due to defect.    ",0
"Maganda, ang prob. lang is mabilis malobat, but overall 10/10 thanks nagustuhan ng brother ko.",1
Does the job...  The design is excellent and quality of the product is also great. Works as expected. Comes with a stick mount.    ,1
"Nice Product  Used in mass quantity, happy with the product... easy to install and looks very elegant.    ",1
Kala ko malaki sa totoo Yung pala sa picture lng,0
hindi sya nakaka full charge ng phone parang 5% lang nadadagdag lowbat na,0
Maganda naman siya malakas rin yung mic lang basag yung boses pag kakanta ka. HAHAHA kala ko may adjust sa mic. Pero ayos,1
"Dry fit style ang tela ng shirt, sana kasya sa hubby q.maayos naman ang pagkapacked tnx seller at kay kuya rider",1
No.good  Very small. Not easy to clean the silverware holder.    ,0
"Dumating na yung order ko maganda naman ang items, kaso punit ang isa. sana naman paki check muna bago nyo pa deliver ang items, kung walang sira.",0
Sadly this did not work for my dogs or my ...  Sadly this did not work for my dogs or my vehicle. The problem with the guard is that if either one of the people in the front seats moves their seat in a way that is not parallel with the other then the guard is complete wonky. Seller would not let me send the product back.    ,0
maliit sya pero gumagana. maganda pag ka package naka bubble wrap thanks seller,1
and daughter love this movie  Granddaughter...and daughter love this movie!    ,1
"Amazing - I was surprised!  From the packaging to the paint finish on this shop vacuum was amazing! It came tightly packaged with everything I needed. The color and shiny finish is beautiful. I almost didn't want to use it because it was so shiny and pretty. I'm surprised how strong it is and how it picked up almost everything that was heavy from nails to heavy rocks/stone. Very easy to use with easy removal of the filters for clean up. Every business should own one, and every neighbor should own one too. This is my first super strong vacuum and I'm pleasantly surprised that this type of thing existed for normal personal use.    ",1
"Okay naman nung dumating, hindi rin nasira yung box kahit mindanao pa. Sobrang tagal lang talaga na deliver kaya nag request na ako ng return/refund. Sobrang ganda ni topaz. My 4th aquaflask. Thank you.",1
One Star  poor quality....it tears very easy....save your money and buy a better quality screen    ,0
"Kgabi ko inorder, kinabukasan dumating, kaso ayun sira sira naman. decided ako ireturn lalo na kung pati ung ringlight sira mabuti naman at hindi. Kaya ginawan ko nalang paraan. Ung seller din walang response sa mga concern. Though nagmessage kna bago ka umorder na bgyan ka sana ng maayos. Wla prin",0
Five Stars  Just loved loved loved it! Great quality nd I will order it again.    ,1
totaly sad.damage po yung mic.pero gumana naman.kaso depo kasi akin sa customer ko din po kasi.depo secure yong pagkabalot wla buble wrap yung mic damge den po lalagyan ng speaker.,0
has strong white noise  it charges and connect headphones through bluetooth but has a strong hissing white noise which makes it hard to listen and talk. Waste of money    ,0
Okay aman sya well packaged maayos naman pag dating. kompleto din Thankyou sa mabait na rider. Sana sa susunod same Experience parin,1
"Cute  Cute, easy to use and less clutter on my night table.    ",1
"Poor quality, Chips around holes and on faceted edges.  And the ends around the drill holes are rough/sanded. Not sure why they look like they have been flattened from sanding on the ends. They needed to be polished or something to cover that up. Not pretty and will need a bigger spacer to cover this.    ",0
Great little wallet.  I use it for work to make it easy to scan my I.D. and it keeps business cards and certifications safe. Tuff wallet.    ,1
Lie  Does not work Does not numb my anal wait 1min. So no sex for me am gay.    ,0
kulang yung item ko. hindi rin responsive si seller sa concerns ko tagal pa dumating. tsk. tskk. tskk,0
I deem this product made for people like me. It is a savior  I perpetually end up leaving my hair straightener on and realizing it when I'm at work. I deem this product made for people like me. It is a savior. It is so cool that I can turn it off and on using the switch from the app on my iPhone. The set up was very easy. I have set it up with my echo dot too so now I don't even need my phone. This product is very thoughtfully designed and I'm planning to get couple more so I can connect it to my lamps and other devices.    ,1
"I want color white Kasi para match sa uniform pero Yung binigay, Hindi Naman puti, parang cream white. So Di ko alam kung gagamitin ko ba to or ipamimigay nalang. White Naman Kasi Yung nasa picture pati sa review pero Yung natanggap ko Hindi, sad.",0
"Horrible Zipper Quality!  The side zipper broke the first time I set it up. It's incredibly disappointing that I can't even zip up the side completely, before my dog has even given it a true test. Not sure if it's bad material for the zippers, or this company just sends out defective items without inspecting. I'd recommend that you spend the money to get a product that has quality zippers...    ",0
"Kala ko long sleeve/sweater sya pero pagkadating ampanget ng tela, ang nipis, yung tela nya parang pang basketball jersey, kung nag hahanap kayo ng sweater/long sleevena cotton. Wag nyo bilin to",0
Complete garbage  Shattered and got glass in my food when it got hot the first time I used it    ,0
"mabilis ang delivery and well packed naman: hindi lng gumagana ung isang fan nung isang neck fan. Hindi ko na ireturn, hustle lng. I hope nlng na magtagal ung isa.",1
"It got to the point where it was very annoying it kept beeping at me would record than turn ...  this product gave me such a headache. it wouldn't work. after charging it it decided it was going to turn on and off on its own. It got to the point where it was very annoying it kept beeping at me would record than turn off than turn on all on its own. i even thought bought a new sm card to use thinking it needed more space but no, just terrible.    ",0
Maganda walang damage Tig isa kami ng asawa ko love it,1
"Alcoholics anonymous historically accurate working on the 12 steps and meetings  For members of AA, or other 12 step -based programs, this book will astound you as to how it was done in the beginning. All 12 steps completed in three or four sessions. They literally had cards they carried and had to be approved to attend meetings. Card-carrying members only. Fascinating. I don't recommend we go back to these days, but success rate was outstanding ( like 80 to 81% long-term sobriety) and I have definitely learned some valuable concepts.    ",1
Shrinks!!! Waste of money  Cheap materials. Purchased 3-6 month. Test fit was fine ( a lil big actually which is a good thing). Washed once...shrank to 0-3 month or smaller. Doesn't fit at all. Throwing away. Never worn once. Waste of money    ,0
"XXL ang inorder ko, medium ang dumating.",0
ganda nyaaa kahit small lang malakas sounds love it,1
Sinungaling yung delivery Ok naman lahat ng order ko kaso out na for delivery nagtxt pinag antay lang ako di naman pala idedeliver. Fail delivery daw.,0
Di maayos ung pagka dikit tnggal agad,0
Tamang tama maganda ang item.very good seller,1
Sa product sobrang ganda and Smooth. Ang problema LNG eh sobrang tagal dumating dahil din sa courier! Any ways sobrang ganda ng Item thank you seller!,1
"Ang ganda niya napa wow asawa ko gustong gusto niya yung relo salamat sa shop nato legit seller. matagal lang bago nadelever pero sulit naman recommended this shop, bait pa ng seller. always my reply sa concern. Salamat shappy",1
"Showed up completely shattered  I'll update this review once the new one comes, but it just got here and Is completely shattered! I wasn't even able to take it out of the box ?? It looks like it's packaged well, so I'm assuming it was shattered during transit. A new one is supposed to be sent next week and UPS is supposed to pick this one up tomorrow.    ",0
Superganda nmn ng ribbon na to. What u see is what u get. hindi nga lng ganun ka ganda pagka.picture ko kasi gabi heheh. pero worth it sobra. Thank you so much. Sa lahat ng stores dito sa shopee na inorderan ko ng ribbons ito nag pinakamaganda talaga. At matibay pa yung clip. di gaya sa iba.,1
It was supposed to be quality. Which turned out to be trash.  This product sucked and it only last less than two weeks. I bought it for my classroom since the school do not supply. I missed the window to send it back. Very disappointed.    ,0
"Didn't fit well!  This part did not fit well, broke the tab on driver door.    ",0
"I ordered 2 units of this but received instead a ...  I ordered 2 units of this but received instead a 3 pack of the smaller vials of holy water, not the item in the photo.    ",0
"Awesome! Makes me look cleaner than I am!  I really like this vacuum because it's quiet, light, and has great suction! It picks up things that my old dirt devil vacuum couldn't; all the while, using a fraction of the power. The charge lasts way longer than what I need for my 2 bedroom apartment which has carpet, hardwood, and bathroom tile. It does a great job picking up my dog's hair as well. Overall, this is such an affordable, high quality vacuum cleaner and so I will strongly recommend it especially to those who have pets!    ",1
"Mabilis yung delivery, gumagana naman sya and mabilis bilis pa sya. Sana tumagal at di mag bagal tulad ng ibang tv box. Maganda ang ganitong tv lalo na kung hindi smart tv ang tv.",1
One Star  Got a long sleeve version of this ! Not what I asked for .. still cute though    ,0
May leak siya. I suggest na lagyan ng tape yung mismong takip ng product pero dapat may abiso muna sa buyer kung papayag na buksan.,0
"Ang blis dumating, sna tumagal mlakas dn ang sounds nya pwdng pwd png video ok. D q lng sure s mike kng ok d q p natatry.",1
One Star  worked for 2 days then stopped. do not buy this item    ,0
As described a box of 10  They showed up early and as the discrimination says it was a box of 10 very happy and well worth the money    ,1
"Very bright  Arrived as expected, lights up very brightly, not sure about the strange color it casts on my plants but hope it is what they will need to survive being brought in for the winter.    ",1
akala ko kaliwa't kanan un pla parehas kanan magagamit ko b un?,0
Ibang color yung isa pero ok lang thank you seller,1
"Matagal lang syang dumating,Legit naman",0
Thank you seller. Gantong ganto mga shape na gusto ko e. Kaso berirong sa rider! Napaka reklamador.,1
Di siya gumagana sa headset ko at camera,0
ung dati kong ref. 6.7 cubic yan maliit lng tlga xa 5cubic. ang cute nia una parang laruan lng xa kasi ang gaan nia. pero wag ka nung pinaandar na parang no frost hehehe ganian lng ung ice nia naka level 4 lng yan one week n mahigit pero d kumakapal. yung ice Made in Philippines magic freezer nga po tlga xa update ko kau sa bill nmin. sulit sa pag order tlga ng mga appliances need mu tlga mag pray na safe at walang prob. laki ng tipid kesa sa mall ang mahal ng shipping fee dito walang bayad. hehehhee slamat chiq. more sales and god bless.,1
000% Grade A Crap  This thing looks like a Detroit rat that has rolled around in the sewers and been in and out of gang fights all it's life. The fur looks like they literally found whatever lint ball pieces of crap lying around and glued them onto its body. I am SUPER pissed because they looked really cute in the pictures.... Time to send this rat back to whatever crap hole it originated from.    ,0
Tea Cakes travel well!  Loved this product! Ate it when in Scotland years ago. Still tastes the same...Just wonderful. Next time I'll try the dark chocolate.    ,1
"May kunting sira lng peru ok naman yung item, good job",1
Pangiiitt ang dumi pa nung dumating tapos yung isa basag ang takip at hindi naman talaga legit na hot and cold. Good for 30 mins lang ang itagal pag malamig.,0
"First time ko umorder dito sa shop na ito at masasabi kong sobrang satisfied ako sa product na dumating. Maganda yung tela, sakto yung size sakin and mabait yung seller.",1
"Pretty but not that protective  I get so many compliments on this case. It's very cute and I like silicone, however I wouldn't say it's very protective. On a scale of 1-10 for protection being the worst to the best I'd give it a 6. I think silicon cases are better than hard cases but they're still not that great.    ",1
CHEAP  Came with nothing. Just the detector in a plain box. You'd think for $10 it came with a case!!!    ,0
"Total Crap!  I bought this in June and it was great while it worked. The buttons are confusing, however, and you have to push something 4 times just to turn it on. Well, now it is October and it doesn't work at all. Extremely frustrating.    ",0
"Maliit ang size, may damage ang damit, mali ang kulay. Sa apat na inorder ko isa ang dumating na okay.",0
"Never expanded. 0/4"" thick after 8 days  I received and unpackaged this 8 days ago for my guest bed. It has been sitting on it for 8 days now and it is still only 0/4"" thick except for where it was folded during delivery (and therefore not fully compressed). It is as if it was stored so long in a fully compressed state that it no longer has the ability to expand. I even flipped it after 4 days. On the plus side, it never did have that odor others mention. No way to ship back.    ",0
Maganda naman sya kaso ang ingay lang.,0
Must have for school!  Love these! The colors are vibrant and they are a great size.    ,1
Good for it's price. May kanipisan ang cover as in ang dali malukot pero okay lang kasi mura nga lang sya.,1
First time ko umorder dito ang ganda lahat. Maganda ang tela pati pagkakatahi nasunod din lahat ng size na order ko Mapapasecond order ako nito. Salamat seller recommended shop! SALAMAT SHOPPE,1
"overall maganda, nkakatangkad dn kc kung ano ung taas ng takong outside gnun dn s loob if that make sense lol) unlike nga lng ng ibang imitation ng converse, ndi matigas ung part s ibabaw ng toes",1
Maliban Sa kwento Nito maganda Maganda pagkaprint at sobrang Mura at ang Ganda Ng paper di pucho glossy sya The best tong shop na to Sa mall nasa 300-500 ata to Thank you so much seller!,1
Leaks everywhere  Just gave my daughter her new doll yesterday and won't stop leaking.    ,0
"Nice , pretty, glass balls. They do reflect light but do not make rainbows ( very light ones)  came packaged nice. They are very pretty I bought these to show my preschool class what a rainbow looks like. I held them in direct sunlight. They made lights around the classroom but not colorful enough for the children to see the colors of the rainbow.    ",1
"Maganda tela, kaso mali size nabigay saakin",0
"This is the best protein powder ever.  I have it at least once a day and it gives me enough protein and all the micronutrients I need. So delicious, I will never switch! I now have the entire supplement line.    ",1
Lots of bracelets.  Lots of bracelets so I can combine them as I like. Great material also.    ,1
Good product!!  Easy to use product.. good cleaning.    ,1
legs are bad  the legs bolded this is not a good chair order this may cant use it any moor    ,0
